days since 1900-1-1, spei
1901-01-16, NA
1901-02-15, NA
1901-03-16, NA
1901-04-16, 0.28428
1901-05-16, 0.26282
1901-06-16, -0.33304
1901-07-16, 0.6314
1901-08-16, 0.461
1901-09-16, -0.12064
1901-10-16, 0.30453
1901-11-16, -0.011008
1901-12-16, -1.0288
1902-01-16, -1.3663
1902-02-15, -0.9107
1902-03-16, -0.40649
1902-04-16, 0.16326
1902-05-16, 0.62499
1902-06-16, 0.36321
1902-07-16, 0.15635
1902-08-16, -0.039964
1902-09-16, -0.7111
1902-10-16, 0.45582
1902-11-16, 0.92832
1902-12-16, 0.233
1903-01-16, 0.14306
1903-02-15, -0.22438
1903-03-16, 0.068439
1903-04-16, 0.3088
1903-05-16, 0.45012
1903-06-16, 0.83886
1903-07-16, 0.42528
1903-08-16, -0.58627
1903-09-16, -0.56609
1903-10-16, -1.1518
1903-11-16, -1.5618
1903-12-16, -1.8539
1904-01-16, -1.9351
1904-02-15, -1.1925
1904-03-16, -0.21431
1904-04-16, 0.31012
1904-05-16, 0.71797
1904-06-16, 0.52421
1904-07-16, -0.67454
1904-08-16, -1.6895
1904-09-16, -0.020397
1904-10-16, 0.71546
1904-11-16, -0.37691
1904-12-16, -0.43936
1905-01-16, -0.8182
1905-02-15, -0.24155
1905-03-16, 0.57567
1905-04-16, 0.55085
1905-05-16, 1.0644
1905-06-16, 0.95305
1905-07-16, 0.35588
1905-08-16, 0.70439
1905-09-16, -0.82505
1905-10-16, -1.4181
1905-11-16, -0.66165
1905-12-16, -0.9508
1906-01-16, -0.68369
1906-02-15, -0.34937
1906-03-16, 0.84964
1906-04-16, 1.0047
1906-05-16, 1.4399
1906-06-16, 1.7424
1906-07-16, 0.37854
1906-08-16, 0.92702
1906-09-16, -0.56219
1906-10-16, -1.4763
1906-11-16, -1.1433
1906-12-16, 0.49065
1907-01-16, 1.2998
1907-02-15, 1.0158
1907-03-16, 1.3247
1907-04-16, 0.77186
1907-05-16, 0.12321
1907-06-16, 0.76432
1907-07-16, -0.27857
1907-08-16, 0.31574
1907-09-16, 0.40125
1907-10-16, 1.3769
1907-11-16, 0.3198
1907-12-16, -0.086027
1908-01-16, 0.27964
1908-02-15, 0.32223
1908-03-16, 0.061222
1908-04-16, -0.071788
1908-05-16, -0.34708
1908-06-16, -1.0271
1908-07-16, -0.33634
1908-08-16, -0.025335
1908-09-16, 0.93214
1908-10-16, 0.41705
1908-11-16, 0.4172
1908-12-16, -0.064195
